Transporter	Inhibitor	Ki(µM)	IC50(µM)	Substrate used	Cell System	References
MDR1	Gpv005	NA	0.6	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Valspodar	NA	0.5	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Propafenone	NA	0.3	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Cyclosporin A	NA	0.1	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Elacridar	NA	0.1	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Zosuquidar	NA	0.1	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Gpv062	NA	0.1	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
MDR1	Cholesterol	NA	8.2	Daunorubicin	NIH-G185 cells	CHEMBL2073853
MDR1	Nifedipine	NA	113	Daunorubicin	NIH-G185 cells	CHEMBL2073899
MDR1	Spironolactone	NA	23.6	Daunorubicin	NIH-G185 cells	CHEMBL2073899
MDR1	Nobiletin	NA	11.5	Daunorubicin	NIH-G185 cells	CHEMBL2073899
MDR1	Valinomycin	NA	3.2	Daunorubicin	NIH-G185 cells	CHEMBL2073899
MDR1	Gallopamil	NA	3.2	Daunorubicin	NIH-G185 cells	CHEMBL2073899
MDR1	Norverapamil	NA	0.9	Daunorubicin	NIH-G185 cells	CHEMBL2073899
MDR1	Tetraphenylphosphonium	NA	490	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Progesterone	NA	96.2	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Forskolin	NA	80.2	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Troleandomycin	NA	68.3	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Taxol (Paclitaxel)	NA	54	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Felodipine	NA	26.3	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Dipyridamole	NA	22.7	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinine	NA	22.6	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinidine	NA	18.8	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Vinblastine	NA	17.7	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Emetine	NA	9.2	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Trifluoperazine	NA	7.2	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Fluphenazine	NA	6.5	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Tamoxifen	NA	6.4	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Ketoconazole	NA	5.6	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Carvedilol	NA	4.6	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	4.2	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	3.8	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	N-Norgallopamil	NA	3.6	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	3.2	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Terfenadine	NA	1.8	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clofazimine	NA	0.6	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	0.5	Daunorubicin	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Amiodarone	NA	22.5	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Azelastine	NA	16	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Desethylamiodarone	NA	15.4	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Desmethylazelastine	NA	11.8	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Amlodipine	NA	22	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Nicardipine	NA	17.5	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Benidipine	NA	9.5	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Barnidipine	NA	8.6	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Manidipine	NA	4.6	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Cepharanthin	NA	2.1	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074201
MDR1	Nelfinavir	NA	1.4	Daunorubicin	Caco-2 cells	CHEMBL2073925
MDR1	Efonidipine	NA	17.3	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Efonidipine	NA	20.6	Daunorubicin	MDR1 expressing LLC-PK1 cells	CHEMBL2074205
MDR1	Atorvastatin	NA	271	Daunorubicin	MDR1 expressing 3T3-G185 cells	CHEMBL2073743
MDR1	Lovastatin	NA	26	Daunorubicin	MDR1 expressing 3T3-G185 cells	CHEMBL2073743
MDR1	Simvastatin	NA	9	Daunorubicin	MDR1 expressing 3T3-G185 cells	CHEMBL2073743
MDR1	Ketoconazole	NA	5.6	Daunorubicin	G185 cells	CHEMBL2074078
MDR1	Itraconazole	NA	1.7	Daunorubicin	G185 cells	CHEMBL2074078
MDR1	Verapamil (R)	NA	2.6	paclitaxel	HCT15/CL02 cells	CHEMBL2073933
MDR1	Verapamil (S)	NA	2.4	paclitaxel	HCT15/CL02 cells	CHEMBL2073933
MDR1	Verapamil (R)	NA	5.5	paclitaxel	MES-SA/DX5 cells	CHEMBL2073933
MDR1	Verapamil (S)	NA	5.3	paclitaxel	MES-SA/DX5 cells	CHEMBL2073933
MDR1	Verapamil (Racemic)	NA	4.8	paclitaxel	MES-SA/DX5 cells	CHEMBL2073933
MDR1	Verapamil	NA	446.5	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Emetine	NA	130.3	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinine	NA	112.4	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	86.7	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	14.6	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Cyclosporine	NA	2.4	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	2.1	Fluo-3-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinine	NA	159.3	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Emetine	NA	115.6	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	50.2	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	42	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	7.1	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	6.1	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Cyclosporin A	NA	4.3	JC-1	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Tetraphenylphosphonium	NA	426.6	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Forskolin	NA	188.2	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Progesterone	NA	88.1	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Troleandomycin	NA	78.2	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinine	NA	74.4	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Taxol (Paclitaxel)	NA	53.9	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Lovastatin	NA	32.7	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Felodipine	NA	32.3	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Simvastatin	NA	26.1	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Dipyridamole	NA	23.7	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Ketoconazole	NA	23.4	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Vinblastine	NA	19.9	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Tamoxifen	NA	12.1	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	7.2	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Trifluoperazine	NA	6.3	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Carvedilol	NA	6	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Fluphenazine	NA	5.7	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	5.6	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	N-Norgallopamil	NA	4.9	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	4.7	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Terfenadine	NA	2.5	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Emetine	NA	2.4	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Itraconazole	NA	2.4	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	2.1	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Csa	NA	1.8	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clofazimine	NA	1.1	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinidine	NA	1	LDS-751	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Emetine	NA	207.1	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinine	NA	184.9	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	38.2	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	23.8	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	11.7	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	5.3	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	7; Csa	NA	2.1	Tetramethylrosamine	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Piperine	NA	74.1	Cyclosporine A	Caco-2 cells	CHEMBL2073998
MDR1	Ritonavir	NA	15.7	Cyclosporine A	MDR1 expressing LLC-PK1 cells	CHEMBL2074038
