Transporter	Inhibitor	KI (µM)	IC50 (µM)	Substrate used	Cell system	References
MRP2	Dronedarone Hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nifedipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nicardipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Danazol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Drotaverine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rabeprazole Sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Praziquantel		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nefazodone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Docetaxel		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lapatinib Tosylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Posaconazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Deferasirox		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pazopanib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cinnarizine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ciglitazone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rimonabant		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Scopolamine hydrobromide trihydrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mirtazapine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Natamycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ondansetron		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxacillin sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Etoposide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pentoxifylline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sildenafil citrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Felbinac		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Acarbose		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amisulpride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Artemether		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Artemisinin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Atracurium besylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Brinzolamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Carbidopa		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	m-Chlorophenylpiperazine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dolasetron mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Duloxetine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Travoprost		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Methylprednisolone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Gemifioxacin mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Adapalene		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amikacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amrinone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clomifene citrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Alvimopan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Desmopressin acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Doxycycline hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fesoterodine fumarate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Perindopril erbumine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Betamethasone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dimenhydrinate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Doxepin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Strontium ranelate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lamivudine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Furosemide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tenofovir disoproxil fumarate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Goserelin acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Naloxone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Neomycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxytocin acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Levofloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vasopressin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mafenide acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Maprotiline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fulvestrant		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tolbutamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Triamcinolone acetonide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Procainamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Idazoxan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Haloperidol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Albendazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Piperacillin sodium salt		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sulbactam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Metocurine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	SID56422427		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Terazosin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Riluzole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rizatriptan benzoate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Saxagliptin hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Stepronin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Valdecoxib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Hydroflumethazide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Isoniazid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pancuronium bromide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tolterodine tartrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Guanfacine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tolnaftate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Flumazenil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pergolide mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nicotine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nitazoxanide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Olanzapine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Hydroxychloroquine sulfate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Imipramine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Leucovorin calcium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lidocaine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lisinopril		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lofepramine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Prednisolone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Propafenone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	R-apomorphine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Roxithromycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Salmeterol xinafoate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Selegiline hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	sotalol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sulfadiazine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Enalapril maleate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Eplerenone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Escitalopram oxalate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Atorvastatin Calcium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Telmisartan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	omeprazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cetrorelix Acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefpodoxime Proxetil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	amiodarone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Isotretinoin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tolvaptan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Megestrol Acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bicalutamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Indinavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tranilast		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Paclitaxel		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fenofibrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Valinomycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mevastatin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rotenone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxiconazole nitrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ergocalciferol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Toremifene citrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Diacerein		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	nitrofurantoin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Acetazolamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tazarotene		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	MOCLOBEMIDE		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nelarabine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Acyclovir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amoxapine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	acetaminophen		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Aripiprazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Atomoxetine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Carbon tetrachloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefadroxil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Disopyramide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Emtricitabine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Etoposide phosphate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ziprasidone mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Primidone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Famotidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Verapamil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Piribedil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pravastatin sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Raltitrexed		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Molsidomine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nadolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ketamine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ganciclovir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Glipizide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tamoxifen		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Thiacetazone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ticlopidine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tretinoin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Trimethoprim		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vioxx		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zalcitabine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sparfloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Spiramycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	5-Fluorouracil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sulfisoxazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	DISULFIRAM		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oseltamivir phosphate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mupirocin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	naproxen		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ornidazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Gliclazide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pazufloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pemoline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pimecrolimus		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Febuxostat		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dacarbazine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amidotrizoate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ebastine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Calcitriol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Budesonide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Astemizole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Loxapine Succinate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ketoconazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Loteprednol etabonate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxaprozin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Undecylenic acid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Antipyrine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Azathioprine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bexarotene		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Carmustine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clobazam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vildagliptin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Procarbazine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	promethazine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ramelteon		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rasagiline mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Meropenem		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Methotrexate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Levetiracetam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Levodopa		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Levosulpiride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lorcainide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Staurosporine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bisoprolol fumarate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefaclor		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlorambucil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlorpheniramine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cibenzoline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cyclophosphamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Diazoxide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Flucytosine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fluorescein		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Flunisolide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Eenoximone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mefenamic acid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zopiclone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bupivacaine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zidovudine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zoledronic acid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Gestodene		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Moxifloxacin hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pentamidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	PIRACETAM		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Hydroxyurea		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	MEXILETINE		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tegafur		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tegaserod maleate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Temozolomide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Theophylline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Thiamphenicol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Melperone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Propranolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Quinine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nicorandil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
