Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OCT1	Saquinavir	37		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Saracatinib	57		ASP+	HEK293-OCT1	https://www.nature.com/articles/s41598-017-01438-4	
OCT1	Scopolamine	6.7		MPP+	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml	
OCT1	SKF550	>0.3		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	Sorafenib	>30		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Sorafenib	99		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Spironolactone	1.2		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Spironolactone	3.08		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Sulpiride	182		Tetraethylammonium	HEK293-OCT1	https://www.sciencedirect.com/science/article/pii/S0022354917303593	
OCT1	Sumatriptan	47		MPP+	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Sunitinib	6.1		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Sunitinib	0.33		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Sunitinib	67		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Tacrine	21.72		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Tacrine	83		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21599003?dopt=Abstract	
OCT1	Talinolol	23.7		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Tenatoprazole	23.3		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21779389?dopt=Abstract	
OCT1	Tenofovir	0.0009		MPP+	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19141712	
OCT1	Tenofovir	>10		MPP+	HEK293-OCT1	http://jpet.aspetjournals.org/content/360/2/341?ijkey=d8ae4d8d82ffdfc4e6111032647a025109d20092&keytype2=tf_ipsecsha	
OCT1	Terazosine	23.7		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Tetraethylammonium	7410		Ethidium	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19357179?dopt=Abstract	
OCT1	Thiamine	4354		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Trimethoprim	50.68		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Trimethoprim	27.7		Metformin	Caco-OCT1	https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1002/prp2.357	
OCT1	Trimethoprim	20		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Trimethoprim	56.8		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Trimipramin	28		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Tropisetron	3.3		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Tropisetron	8.5		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20921968?dopt=Abstract	
OCT1	Trospium	15		MPP+	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml	
OCT1	Trospium	18.1		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21212936?dopt=Abstract	
OCT1	Vandetanib	68		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Verapamil	1.1		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Verapamil	0.8		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Verapamil	33.2		Rhodamine 123	HEK293-OCT1	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-8206.2012.01071.x	
OCT1	Verapamil	1.2		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Verapamil	1.5		Serotonin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014663/	
OCT1	Verapamil	12		Ethambutol	HEK293-OCT1	https://aac.asm.org/content/aac/62/9/e00512-18.full.pdf	
OCT1	Verapamil	3.9		Prothionamide	HEK293-OCT1	https://aac.asm.org/content/aac/62/9/e00512-18.full.pdf	
OCT1	Verapamil	9.62		Morphine	HEK293-OCT1	https://link.springer.com/article/10.1007/s11095-018-2526-y	
OCT1	Verapamil	1.6		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	YM758	40.5		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Zalcitabine	24		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Zolmtriptan	>1000		MPP+	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	_-oestradiol	5.73		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
