Transporter	Inhibitor	IC50 (uM)	KI (uM)	Substrate used	Cell system	References	OtherLink	
ABCC2	Artemisinin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Atracurium besylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Brinzolamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Carbidopa	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	m-Chlorophenylpiperazine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dolasetron mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Duloxetine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Travoprost	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Methylprednisolone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Gemifioxacin mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Adapalene	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amikacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amrinone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Clomifene citrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Alvimopan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Desmopressin acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Doxycycline hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fesoterodine fumarate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Perindopril erbumine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Betamethasone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dimenhydrinate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Doxepin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Strontium ranelate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lamivudine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Furosemide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tenofovir disoproxil fumarate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Goserelin acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Naloxone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Neomycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxytocin acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Levofloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Vasopressin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mafenide acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Maprotiline	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fulvestrant	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tolbutamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Triamcinolone acetonide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Procainamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Idazoxan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Haloperidol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Albendazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Piperacillin sodium salt	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sulbactam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Metocurine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	SID56422427	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Terazosine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Riluzole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rizatriptan benzoate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Saxagliptin hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Stepronin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Valdecoxib	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Hydroflumethazide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Isoniazid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pancuronium bromide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tolterodine tartrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Guanfacine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tolnaftate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Flumazenil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pergolide mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nicotine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nitazoxanide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Olanzapine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Hydroxychloroquine sulfate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Imipramine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Leucovorin calcium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lidocaine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lisinopril	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lofepramine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Prednisolone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Propafenone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	R-apomorphine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Roxithromycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Salmeterol xinafoate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Selegiline hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	sotalol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sulfadiazine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Enalapril maleate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Eplerenone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Escitalopram oxalate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Atorvastatin Calcium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Telmisartan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	omeprazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cetrorelix Acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefpodoxime Proxetil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	amiodarone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Isotretinoin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tolvaptan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Megestrol Acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bicalutamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Indinavir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tranilast	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Paclitaxel	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fenofibrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Valinomycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mevastatin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rotenone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxiconazole nitrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ergocalciferol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Toremifene citrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Diacerein	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	nitrofurantoin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Acetazolamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tazarotene	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	MOCLOBEMIDE	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nelarabine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Acyclovir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amoxapine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	acetaminophen	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Aripiprazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Atomoxetine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Carbon tetrachloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefadroxil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Disopyramide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Emtricitabine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Etoposide phosphate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ziprasidone mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Primidone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Famotidine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Verapamil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Piribedil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pravastatin sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Raltitrexed	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Molsidomine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nadolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ketamine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ganciclovir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Glipizide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tamoxifen	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Thiacetazone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ticlopidine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tretinoin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Trimethoprim	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Vioxx	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zalcitabine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sparfloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Spiramycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	5-Fluorouracil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sulfisoxazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	DISULFIRAM	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oseltamivir phosphate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mupirocin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	naproxen	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ornidazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Gliclazide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pazufloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pemoline	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pimecrolimus	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Febuxostat	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dacarbazine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amidotrizoate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ebastine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Calcitriol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Budesonide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Astemizole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Loxapine Succinate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ketoconazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Loteprednol etabonate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxaprozin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Undecylenic acid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Antipyrine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Azathioprine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bexarotene	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Carmustine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Clobazam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Vildagliptin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Procarbazine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	promethazine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ramelteon	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rasagiline mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Meropenem	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Methotrexate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Levetiracetam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Levodopa	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Levosulpiride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lorcainide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Staurosporine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bisoprolol fumarate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefaclor	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Chlorambucil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Chlorpheniramine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cibenzoline	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cyclophosphamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Diazoxide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Flucytosine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fluorescein	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Flunisolide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Eenoximone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mefenamic acid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zopiclone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bupivacaine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zidovudine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zoledronic acid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Gestodene	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Moxifloxacin hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pentamidine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	PIRACETAM	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Hydroxyurea	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	MEXILETINE	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tegafur	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tegaserod maleate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Temozolomide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Theophylline	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Thiamphenicol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Melperone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Propranolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Quinine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nicorandil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nikethamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Norfloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Paroxetine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Vincristine sulfate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Indoramin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Kanamycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ketanserin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	LEFLUNOMIDE	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lomustine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lumiracoxib	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Gemcitabine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bimatoprost	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ezetimibe	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Itraconazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pranlukast	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Clofibrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	MK-571	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mycophenolate Mofetil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	17alpha-ethinylestradiol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	GDC-0941 bimesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Midecamycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Norethindrone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sertindole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amlexanox	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cloprostenol sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Carprofen	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Camptothecin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tubocurarine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nalidixic acid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Allopurinol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Azithromycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Butorphanol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Chlorthalidone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cimetidine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dapsone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dexbrompheniramine maleate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dirithromycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Domperidone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	propylthiouracil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ketotifen fumarate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mesna	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Metoclopramide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Metoprolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Loratadine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Latanoprost	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Norethindrone Acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Finasteride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Entacapone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dicloxacillin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Erythromycin Estolate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
