Transporter	Chemical	Chemical Concentration (uM)	Interaction Type	IC50 (uM)	EC 50 (uM)	Km (uM)	Substrate used/ATPase assay/Cell-viability assay	Basal ATPase Activity	ATPase stimulation	Cell/in vitro System	Reference (Pubmed ID)
P-gp	PBDE-47	0.001 - 333uM	Inhibitor	22.6			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	PBDE-100	0.001 - 333uM	Inhibitor	23.2			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	PCB-147	0.001 - 333uM	Inhibitor	23.6			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	4,4′-DDT	0.001 - 333uM	Inhibitor	25.6			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	PCB-168	0.001 - 333uM	Inhibitor	25.8			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	Aldrin	0.001 - 333uM	Inhibitor	26.2			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	alpha-HCH	0.001 - 333uM	Inhibitor	26.8			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	4,4′-DDE	0.001 - 333uM	Inhibitor	31.3			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	PBDE-49	0.001 - 333uM	Inhibitor	35.6			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	PCB-161	0.001 - 333uM	Inhibitor	43.2			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	4,4′-DDD	0.001 - 333uM	Inhibitor	72.5			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	gamma-HCH (lindane)	0.001 - 333uM	Inhibitor	82.6			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	PFOA	0.001 - 333uM	Inhibitor	156.5			ATPase assay	Basal activity not stimulated by presence of chemical	100uM Verapamil	purified, detergent-solubilized protein	27152359
P-gp	23 nm silver nanoparticle	0.6-5 mg/mL	Inhibitor	2.9			Calcein			MDCKII-MDR1 cells	27376922
P-gp	Silver Nitrate	0.6-5 mg/mL	Inhibitor	3.2			Calcein			MDCKII-MDR1 cells	27376922
MATE2-K	Propamocarb	100	Inhibitor	4.6			4-DiASP			MATE2-K-expressing HEK cells	32421406
OAT3	Chlorpropham	100	Inhibitor	7			6-CF			OAT3-expressing HEK cells	32421406
Oct2	Propamocarb	100	Inhibitor	38.1			4-DiASP			OCT2-expressing HEK cells	32421406
Oct1	Propamocarb	100	Inhibitor	48.1			TEA			OCT1-expressing HEK cells	32421406
BCRP	Chlorpropham	100	Inhibitor	53.2			Hoechst 33342			BCRP-expressing HEK cells	32421406
P-gp	Sertraline	0-1000	Inhibitor			4.7	ATPase assay	Measured in the presence and absence of orthovanadate	Not listed	Human P-gp membranes	18239278
P-gp	desmethylsertralin	0-1000	Inhibitor			6.5	ATPase assay	Measured in the presence and absence of orthovanadate	Not listed	Human P-gp membranes	18239278
OATP1A4	pitavastatin	0.1	Substrate			8.3	[3H]pitavastatin			HEK293-OATP1A4 cells	19833843
OATP1A4	rosuvastatin	0.1	Substrate			12	[3H]rosuvastatin			HEK293-OATP1A4 cells	19833843
OATP1B1	Phalloidin	1	Substrate			39	[3H]demethylphalloin			MDCKII-SLC21A6 cells	14530907
OATP1A4	taurocholate	0.1	Substrate			40	[3H]taurocholate			HEK293-OATP1A4 cells	19833843
hOAT1	Perfluorooctanoic acid	0-100	Substrate			48	[14C] Perfluorooctanoic acid			hOAT1-expressing HEK293 cells	18373647
hOAT3	Perfluorooctanoic acid	0-100	Substrate			49.1	[14C] Perfluorooctanoic acid			hOAT1-expressing HEK293 cells	18373647
rOAT1	Perfluorooctanoic acid	0-100	Substrate			51	[14C] Perfluorooctanoic acid			rOAT1-expressing HEK293 cells	18373647
URAT1	Perfluorooctanoic acid	100	Inhibitor			64.1	[14C] Uric acid			URAT1-expressing HEK293 cells	20639259
rOAT3	Perfluorooctanoic acid	0-100	Substrate			80.2	[14C] Perfluorooctanoic acid			rOAT1-expressing HEK293 cells	18373647
P-gp	erythro-amino alcohol (EB)	0-1000	No interaction			109.3	ATPase assay	Measured in the presence and absence of orthovanadate	Not listed	Human P-gp membranes	18239278
hOCT2	Paraquat	5-1000	Substrate			114	[14C] Paraquat			hOCT2-expressing HEK293 cells	17495125
OATP1a1	perfluorooctanoate	100-1000	Inhibitor			162.2	[3H]estrone-3-sulfate			CHO cells	19616083
rMATE1	Paraquat	5-1000	Substrate			170	[14C] Paraquat			rMATE1-expressing HEK293 cells	17495125
hMATE1	Paraquat	5-1000	Substrate			212	[14C] Paraquat			hMATE1-expressing HEK293 cells	17495125
P-gp	hydroxy-BUP	0-1000	No interaction			318.2	ATPase assay	Measured in the presence and absence of orthovanadate	Not listed	Human P-gp membranes	18239278
P-gp	threo-amino alcohol (TB)	0-1000	No interaction			2066	ATPase assay	Measured in the presence and absence of orthovanadate	Not listed	Human P-gp membranes	18239278
P-gp	bupropion	0-1000	No interaction			2676	ATPase assay	Measured in the presence and absence of orthovanadate	Not listed	Human P-gp membranes	18239278
hOAT4	Perfluorooctanoic acid	100	Inhibitor			172.3 (pH6), 310.3 (pH7.4)	[3H] E3S			hOAT4-expressing CHO cells	20639259
